optimizer,data,step,filter1,filter2,accuracy,val_accuracy,precision,val_precision,recall,val_recall,tp,val_tp,tn,val_tn,fp,val_fp,fn,val_fn
gradual,normal,50,48,128,0.889018714427948,0.8837209343910217,0.835616409778595,0.7941176295280457,0.6321243643760681,0.6000000238418579,122.0,27.0,639.0,163.0,24.0,7.0,71.0,18.0
gradual,normal,100,48,128,0.8831775784492493,0.8837209343910217,0.8251748085021973,0.7941176295280457,0.6113989353179932,0.6000000238418579,118.0,27.0,638.0,163.0,25.0,7.0,75.0,18.0
gradual,normal,150,48,128,0.8761682510375977,0.8837209343910217,0.800000011920929,0.7941176295280457,0.6010362505912781,0.6000000238418579,116.0,27.0,634.0,163.0,29.0,7.0,77.0,18.0
gradual,normal,200,48,128,0.8785046935081482,0.8837209343910217,0.7986577153205872,0.7941176295280457,0.6165803074836731,0.6000000238418579,119.0,27.0,633.0,163.0,30.0,7.0,74.0,18.0
gradual,normal,250,48,128,0.8773364424705505,0.8837209343910217,0.7894737124443054,0.7941176295280457,0.621761679649353,0.6000000238418579,120.0,27.0,631.0,163.0,32.0,7.0,73.0,18.0
gradual,normal,300,48,128,0.8761682510375977,0.8837209343910217,0.7843137383460999,0.7941176295280457,0.621761679649353,0.6000000238418579,120.0,27.0,630.0,163.0,33.0,7.0,73.0,18.0
gradual,normal,50,48,192,0.8492990732192993,0.8558139801025391,0.7133333086967468,0.6944444179534912,0.5544041395187378,0.5555555820465088,107.0,25.0,620.0,159.0,43.0,11.0,86.0,20.0
gradual,normal,100,48,192,0.8492990732192993,0.8558139801025391,0.7105262875556946,0.6944444179534912,0.5595855116844177,0.5555555820465088,108.0,25.0,619.0,159.0,44.0,11.0,85.0,20.0
gradual,normal,150,48,192,0.8469626307487488,0.8558139801025391,0.701298713684082,0.6944444179534912,0.5595855116844177,0.5555555820465088,108.0,25.0,617.0,159.0,46.0,11.0,85.0,20.0
gradual,normal,200,48,192,0.8539719581604004,0.8558139801025391,0.7236841917037964,0.6944444179534912,0.5699481964111328,0.5555555820465088,110.0,25.0,621.0,159.0,42.0,11.0,83.0,20.0
gradual,normal,250,48,192,0.8586448431015015,0.8558139801025391,0.7278481125831604,0.6944444179534912,0.5958549380302429,0.5555555820465088,115.0,25.0,620.0,159.0,43.0,11.0,78.0,20.0
gradual,normal,300,48,192,0.8457943797111511,0.8558139801025391,0.6967741847038269,0.6944444179534912,0.5595855116844177,0.5555555820465088,108.0,25.0,616.0,159.0,47.0,11.0,85.0,20.0
gradual,normal,50,48,256,0.8621495366096497,0.8558139801025391,0.769784152507782,0.7058823704719543,0.5544041395187378,0.5333333611488342,107.0,24.0,631.0,160.0,32.0,10.0,86.0,21.0
gradual,normal,100,48,256,0.8703271150588989,0.8558139801025391,0.7733333110809326,0.7058823704719543,0.6010362505912781,0.5333333611488342,116.0,24.0,629.0,160.0,34.0,10.0,77.0,21.0
gradual,normal,150,48,256,0.8574766516685486,0.8558139801025391,0.7414966225624084,0.7058823704719543,0.5647668242454529,0.5333333611488342,109.0,24.0,625.0,160.0,38.0,10.0,84.0,21.0
gradual,normal,200,48,256,0.8633177280426025,0.8558139801025391,0.7676056623458862,0.7058823704719543,0.5647668242454529,0.5333333611488342,109.0,24.0,630.0,160.0,33.0,10.0,84.0,21.0
gradual,normal,250,48,256,0.8563084006309509,0.8558139801025391,0.7364864945411682,0.7058823704719543,0.5647668242454529,0.5333333611488342,109.0,24.0,624.0,160.0,39.0,10.0,84.0,21.0
gradual,normal,300,48,256,0.8738317489624023,0.8558139801025391,0.8014184236526489,0.7058823704719543,0.5854922533035278,0.5333333611488342,113.0,24.0,635.0,160.0,28.0,10.0,80.0,21.0
gradual,normal,50,64,128,0.860981285572052,0.8511627912521362,0.75,0.6857143044471741,0.575129508972168,0.5333333611488342,111.0,24.0,626.0,159.0,37.0,11.0,82.0,21.0
gradual,normal,100,64,128,0.8528037667274475,0.8511627912521362,0.7218543291091919,0.6857143044471741,0.5647668242454529,0.5333333611488342,109.0,24.0,621.0,159.0,42.0,11.0,84.0,21.0
gradual,normal,150,64,128,0.8434579372406006,0.8511627912521362,0.6855345964431763,0.6857143044471741,0.5647668242454529,0.5333333611488342,109.0,24.0,613.0,159.0,50.0,11.0,84.0,21.0
gradual,normal,200,64,128,0.8528037667274475,0.8511627912521362,0.7310344576835632,0.6857143044471741,0.5492228269577026,0.5333333611488342,106.0,24.0,624.0,159.0,39.0,11.0,87.0,21.0
gradual,normal,250,64,128,0.8457943797111511,0.8511627912521362,0.7103448510169983,0.6857143044471741,0.5336787700653076,0.5333333611488342,103.0,24.0,621.0,159.0,42.0,11.0,90.0,21.0
